Inn,Top/Bot,Outs,Runners,-5,-4,-3,-2,-1,Tie,1,2,3,4,5
9,Top,0,Empty,0.005,0.013,0.031,0.071,0.158,0.5,0.842,0.929,0.969,0.987,0.995
9,Top,0,1B only,0.005,0.011,0.026,0.06,0.135,0.418,0.727,0.855,0.933,0.971,0.988
9,Top,0,2B only,0.004,0.009,0.022,0.05,0.112,0.328,0.643,0.842,0.927,0.968,0.985
9,Top,0,1B & 2B,0.003,0.008,0.02,0.046,0.103,0.309,0.573,0.739,0.858,0.934,0.97
9,Top,0,3B only,0.003,0.007,0.016,0.038,0.087,0.225,0.55,0.832,0.926,0.969,0.987
9,Top,0,1B & 3B,0.002,0.006,0.014,0.033,0.074,0.194,0.462,0.713,0.842,0.924,0.964
9,Top,0,2B & 3B,0.002,0.005,0.012,0.029,0.067,0.179,0.391,0.646,0.832,0.918,0.963
9,Top,0,Loaded,0.002,0.005,0.012,0.027,0.061,0.165,0.365,0.577,0.737,0.855,0.932
Inn,Top/Bot,Outs,Runners,-5,-4,-3,-2,-1,Tie,1,2,3,4,5
9,Top,1,Empty,0.006,0.014,0.034,0.078,0.174,0.558,0.913,0.966,0.987,0.995,0.998
9,Top,1,1B only,0.005,0.013,0.031,0.07,0.157,0.498,0.831,0.917,0.967,0.987,0.995
9,Top,1,2B only,0.005,0.012,0.028,0.064,0.142,0.438,0.776,0.91,0.963,0.985,0.994
9,Top,1,1B & 2B,0.005,0.011,0.026,0.06,0.135,0.421,0.725,0.841,0.921,0.969,0.988
9,Top,1,3B only,0.004,0.009,0.022,0.05,0.113,0.321,0.673,0.901,0.96,0.985,0.994
9,Top,1,1B & 3B,0.004,0.009,0.021,0.049,0.11,0.319,0.635,0.835,0.92,0.968,0.987
9,Top,1,2B & 3B,0.003,0.008,0.019,0.043,0.098,0.284,0.555,0.769,0.899,0.955,0.981
9,Top,1,Loaded,0.003,0.008,0.019,0.043,0.097,0.286,0.548,0.726,0.841,0.919,0.967
Inn,Top/Bot,Outs,Runners,-5,-4,-3,-2,-1,Tie,1,2,3,4,5
9,Top,2,Empty,0.006,0.015,0.037,0.084,0.186,0.602,0.965,0.989,0.996,0.999,1
9,Top,2,1B only,0.006,0.015,0.035,0.079,0.177,0.57,0.922,0.965,0.989,0.997,0.999
9,Top,2,2B only,0.006,0.014,0.033,0.075,0.167,0.53,0.888,0.963,0.988,0.996,0.999
9,Top,2,1B & 2B,0.006,0.013,0.032,0.073,0.163,0.52,0.86,0.927,0.968,0.99,0.997
9,Top,2,3B only,0.006,0.013,0.032,0.073,0.163,0.513,0.875,0.966,0.989,0.996,0.999
9,Top,2,1B & 3B,0.005,0.013,0.031,0.071,0.158,0.499,0.841,0.927,0.969,0.99,0.997
9,Top,2,2B & 3B,0.005,0.013,0.03,0.069,0.154,0.493,0.803,0.889,0.962,0.986,0.995
9,Top,2,Loaded,0.005,0.012,0.029,0.065,0.146,0.464,0.769,0.859,0.927,0.967,0.989
Inn,Top/Bot,Outs,Runners,-5,-4,-3,-2,-1,Tie,1,2,3,4,5
9,Bottom,0,Empty,0.007,0.016,0.038,0.087,0.194,0.634,,,,,
9,Bottom,0,1B only,0.015,0.036,0.083,0.177,0.328,0.708,,,,,
9,Bottom,0,2B only,0.018,0.04,0.089,0.193,0.438,0.807,,,,,
9,Bottom,0,1B & 2B,0.037,0.081,0.173,0.312,0.5,0.805,,,,,
9,Bottom,0,3B only,0.016,0.039,0.092,0.206,0.563,0.921,,,,,
9,Bottom,0,1B & 3B,0.044,0.092,0.192,0.343,0.643,0.93,,,,,
9,Bottom,0,2B & 3B,0.046,0.101,0.205,0.431,0.721,0.926,,,,,
9,Bottom,0,Loaded,0.083,0.176,0.314,0.494,0.731,0.931,,,,,
Inn,Top/Bot,Outs,Runners,-5,-4,-3,-2,-1,Tie,1,2,3,4,5
9,Bottom,1,Empty,0.002,0.006,0.017,0.043,0.108,0.577,,,,,
9,Bottom,1,1B only,0.006,0.016,0.042,0.103,0.206,0.632,,,,,
9,Bottom,1,2B only,0.007,0.018,0.046,0.112,0.278,0.699,,,,,
9,Bottom,1,1B & 2B,0.015,0.039,0.098,0.193,0.326,0.703,,,,,
9,Bottom,1,3B only,0.007,0.019,0.051,0.123,0.416,0.83,,,,,
9,Bottom,1,1B & 3B,0.016,0.04,0.099,0.201,0.447,0.817,,,,,
9,Bottom,1,2B & 3B,0.023,0.055,0.124,0.284,0.537,0.838,,,,,
9,Bottom,1,Loaded,0.041,0.1,0.193,0.324,0.53,0.829,,,,,
Inn,Top/Bot,Outs,Runners,-5,-4,-3,-2,-1,Tie,1,2,3,4,5
9,Bottom,2,Empty,0,0.001,0.005,0.014,0.044,0.533,,,,,
9,Bottom,2,1B only,0.001,0.004,0.014,0.044,0.096,0.563,,,,,
9,Bottom,2,2B only,0.001,0.005,0.016,0.046,0.142,0.608,,,,,
9,Bottom,2,1B & 2B,0.004,0.012,0.041,0.09,0.169,0.611,,,,,
9,Bottom,2,3B only,0.002,0.005,0.015,0.043,0.16,0.628,,,,,
9,Bottom,2,1B & 3B,0.004,0.012,0.04,0.09,0.195,0.635,,,,,
9,Bottom,2,2B & 3B,0.006,0.018,0.048,0.14,0.235,0.63,,,,,
9,Bottom,2,Loaded,0.014,0.042,0.089,0.17,0.271,0.658,,,,,
